"English STEM Instructional Sentence (Input X)", "Expert Tonal Translation & Morphology (Ground Truth Y)"
"Quadratic equations can be factored.", "Ìṣirò kwádírátì leè jẹ́ dídín kù nípa ìpín-ìṣirò.",
"Newton's second law is F equals ma.", "Òfin Newton kejì sọ pé F dọ́gba m a.",
"The valency of Chlorine is one.", "Fẹ́lẹ́nsì Kílórìnì ni ọ̀kan.",
"Light energy is converted during photosynthesis.", "Agbára ìmọ́lẹ̀ ni a ń yí padà nígbà ìṣiṣẹ́-oòrùn-sínú-ewé.",
"Livestock require vaccination for disease control.", "Ẹran-ọ̀sìn nílò ìtẹ̀jú-àìsàn fún ìṣàkóso àrùn.",
"A hexagon has six sides.", "Hẹ́kságọ̀nù ní ẹ̀gbẹ́ mẹ́fà.",
"The proton is a subatomic particle.", "Pùrótónì jẹ́ apá nǹkan átọ́mù.",
"Osmosis involves the movement of water.", "Ósmósì ní nǹkan ṣe pẹ̀lú rírìn omi.",
"Simplifying algebra requires grouping terms.", "Dídín ìṣirò àlíjíbírà kù nílò àkójọpọ̀ àwọn apá rẹ̀.",
"The greenhouse effect traps heat.", "Ipá gbà-ooru ń mú kí ooru dúró.",
"Proper storage reduces post-harvest loss.", "Ìtọ́jú tí ó dára ń dín ìpàdánù lẹ́yìn ìkórè kù.",
"A scalar quantity has no direction.", "Ìwọ̀n sẹ́kálà kò ní ìtọ́sọ́nà.",
"A triangle can be equilateral or isosceles.", "Tíríàngùlù leè jẹ́ ìkọ̀ọ̀kan tàbí ìdajì-ẹ̀gbẹ́-dọ́gba.",
"Enzymes are protein catalysts.", "Èńsaímù ni kátálísì prótììnù.",
"Acids produce hydrogen ions in water.", "Ásìdì ń pèsè áónìì háídíròjẹ̀nì nínú omi.",
"The periodic table lists elements by atomic number.", "Tábìlì ìtẹ̀lé-ìwọ̀n ń ṣe àkójọpọ̀ ẹ̀yà kẹ́míkà nípa nọ́mbà átọ́mù.",
"Genetics is the study of heredity.", "Jẹ́nétììkì ni ẹ̀kọ́ nípa ìjogún.",
"Convection occurs in liquids and gases.", "Ìṣàn-ooru ń ṣẹlẹ̀ nínú omi àti gáàsì.",
"Modern farm machinery saves labor.", "Ẹ̀rọ-ògbìn òde òní ń dín iṣẹ́-ṣíṣe kù.",
"The mean is the average of a data set.", "Míìnì ni ìwọ̀n àpapọ̀ ìsọfúnni."
"Probability measures the likelihood of an event.", "Púròbábílítì ń wọ̀n bí nǹkan ṣe leè ṣẹlẹ̀ tó.",
"The speed of sound in air is approximately 343 m/s.", "Ìyára ìró nínú afẹ́fẹ́ jẹ́ nǹkan bí 343 m/s.",
"Covalent bonds result from sharing electrons.", "Ìdè kòfélẹ́ǹtì ń wáyé nípasẹ̀ pínpín ẹ̀lékítírírónì.",
"Crop yield is the amount of produce harvested.", "Ìkórè irúgbìn ni iye ohun-ọ̀gbìn tí a ṣa jọ.",
"A trapezoid is a quadrilateral with one pair of parallel sides.", "Tírápẹ́sọ̀ìdì ni kwadrílatẹ́ràlù tí ó ní ẹ̀gbẹ́ méjì tí ó rìn pọ̀.",
"The endoplasmic reticulum synthesizes proteins.", "Èndópíláàsìkì rètíkúlùmù ń ṣe prótììnù.",
"Chemical formulas represent the number of atoms in a molecule.", "Àmì-kẹ́míkà ń dúró fún iye átọ́mù nínú mólíkùlù.",
"Livestock health is monitored by veterinarians.", "Ìlera ẹran-ọ̀sìn ni àwọn oníṣègùn ẹran ń wòye.",
"Kinetic energy is related to the square of velocity.", "Agbára ìsúnni ní nǹkan ṣe pẹ̀lú ìyára kánkán láìjẹ́ méjì.",
"A circle is defined by its center and radius.", "Síríkì jẹ́ èyí tí a mọ̀ nípasẹ̀ ibùdó àti ìwọ̀n-ẹ̀gbẹ́-sí-àárín rẹ̀.",
"Acids contain hydrogen ions.", "Ásìdì ní áónìì háídíròjẹ̀nì nínú.",
"Genotype refers to the genetic makeup.", "Jẹ́nótáìpù ń tọ́ka sí àdàpọ̀ jẹ́nétììkì.",
"Pollination is required for seeds to form.", "Ìfọ̀tẹ̀ṣọ́-irúgbìn ṣe pàtàkì fún ṣíṣe irúgbìn.",
"The center of mass is the balancing point.", "Ibùdó ìwọ̀n ara ni ibi tí nǹkan ti ń dọ́gba.",
"A base has a bitter taste.", "Béesì ní adùn kíkorò.",
"Electric current is measured in Amperes.", "Kọ́ọ̀ǹtì ẹ̀lékítíríkì ni a ń wọ̀n ní Ámpẹ̀ẹ́.",
"Crop spacing prevents nutrient competition.", "Ìyọ̀ọ̀da-irúgbìn ń dènà ìdíje oúnjẹ.",
"A sphere is a 3D geometric shape.", "Sífíà ni ìrísí oní-ààyè 3D.",
"The nucleus controls cell activities.", "Niúkíléọ̀sì ń ṣàkóso iṣẹ́ sẹ́ẹ̀lì.",
"Water is the universal solvent.", "Omi ni sọ́lúṣọ̀nù fún gbogbo nǹkan."
"The atomic radius increases down a group.", "Ìwọ̀n átọ́mù ń pọ̀ sí i bí a bá ń sọ̀kalẹ̀ nínú ẹgbẹ́.",
"Crop yield is measured in tonnes per hectare.", "Ìkórè irúgbìn ni a ń wọ̀n ní tọ̀nì fún hẹ́kítà.",
"A parallelogram has equal opposite sides.", "Párálẹ́lógírámù ní ẹ̀gbẹ́ tí ó kọjú sí ara wọn tí ó dọ́gba.",
"Electric potential energy is stored in a charge.", "Agbára ìpamọ́ ẹ̀lékítíríkì ni agbára tí ó wà nínú ẹ̀sùn.",
"A catalyst reduces the activation energy.", "Kátálísì ń dín agbára ìṣiṣẹ́ kù.",
"Soil aeration allows roots to breathe.", "Afẹ́fẹ́ nínú ilẹ̀ ń jẹ́ kí gbòngbò lè mí.",
"A degree is a unit of angle measurement.", "Díírì ni ìwọ̀n igun.",
"Photosynthesis converts solar energy to chemical energy.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń yí agbára oòrùn padà sí agbára kẹ́míkà.",
"Livestock management prevents the spread of disease.", "Ìṣàkóso ẹran-ọ̀sìn ń dènà ìtànkálẹ̀ àrùn.",
"A variable can change value.", "Fẹ́ríábùlù leè yí iye padà.",
"The nucleus controls all cellular functions.", "Niúkíléọ̀sì ń ṣàkóso gbogbo iṣẹ́ sẹ́ẹ̀lì.",
"Redox reactions involve electron transfer.", "Ìṣiṣẹ́ rédọ́ọ̀kì ní mímú ẹ̀lékítírírónì kọjá.",
"A square root calculation is an inverse operation.", "Ìṣirò gbòngbò-ìṣirò ni iṣẹ́ ìdàjì.",
"Pesticides protect crops from harmful insects.", "Oògùn-kòkòrò ń dáàbò bo irúgbìn lọ́wọ́ kòkòrò.",
"A molecule consists of atoms bonded together.", "Mólíkùlù ní átọ́mù tí ó ṣọ̀kan nínú.",
"Surface tension explains why droplets are spherical.", "Ìfà-lórí-omi ń ṣàlàyé ìdí tí èṣọ́ omi fi rí bí sífíà.",
"Genetics studies how traits are inherited.", "Jẹ́nétììkì ń kọ́ nípa bí a ṣe ń jogún ànímọ́.",
"A right angle is the intersection of two perpendicular lines.", "Igun ọ̀tún ni ìṣọ̀kan ìlà méjì tí ó kọjá lórí ara wọn ní igun ọ̀tún.",
"Compost improves soil texture and fertility.", "Ààtàn-ọ̀rọ̀ ń mú kí ìrísí ilẹ̀ àti ìlera ilẹ̀ dára.",
"Electric current is the rate of flow of charge.", "Kọ́ọ̀ǹtì ẹ̀lékítíríkì ni oṣùwọ̀n ṣíṣàn ẹ̀sùn."
"The Pythagorean theorem relates sides of a right triangle.", "Òfin Pítágóòrù ń so ẹ̀gbẹ́ tíríàngùlù oní-igun-ọ̀tún pọ̀.",
"Cell division creates new cells for growth.", "Ìpín-sẹ́ẹ̀lì ń ṣẹ̀dá sẹ́ẹ̀lì tuntun fún ìdàgbàsókè.",
"Ionic bonds exchange electrons.", "Ìdè áónììkì ń pàṣípààrọ̀ ẹ̀lékítírírónì.",
"Photosynthesis releases oxygen as a byproduct.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń tú ọ̀sìgíìì jáde gẹ́gẹ́ bí èrè.",
"Livestock health requires proper hygiene.", "Ìlera ẹran-ọ̀sìn nílò ìmọ́tótó tó dára.",
"A cylinder has two circular bases.", "Sílìndà ní ìpìlẹ̀ síríkì méjì.",
"Force is a push or pull on an object.", "Agbára ni títì tàbí fífà nǹkan.",
"Pesticides control farm pests effectively.", "Oògùn-kòkòrò ń ṣàkóso kòkòrò-irúgbìn dáadáa.",
"Standard deviation measures data dispersion.", "Ìyapa-ìtẹ̀lé ń wọ̀n ìtànkálẹ̀ ìsọfúnni.",
"DNA contains genetic instructions.", "DNA ní ìlànà jẹ́nétììkì nínú.",
"Chemical reactions rearrange atoms.", "Ìṣiṣẹ́ kẹ́míkà ń tò àwọn átọ́mù padà.",
"A triangle's area is half base times height.", "Ààyè tíríàngùlù ni ìdajì ìpìlẹ̀ tísì gíga.",
"Irrigation improves crop growth in dry areas.", "Ìtọ́jú-omi ń mú kí irúgbìn dàgbà ní àwọn ibi gbígbẹ.",
"Potential energy is stored in a compressed spring.", "Agbára ìpamọ́ wà nínú ìyí-tí-a-fún.",
"A linear equation forms a straight line.", "Ìṣirò línìà ń ṣe ìlà títọ́.",
"Mitochondria produce cellular energy.", "Mítókóndíríà ń pèsè agbára sẹ́ẹ̀lì.",
"Soil composition affects crop yield.", "Ìkọ̀wé ilẹ̀ ń kan ìkórè irúgbìn.",
"A vector quantity has a specific direction.", "Ìwọ̀n vẹ́kítọ̀ ní ìtọ́sọ́nà pàtó.",
"The periodic table lists elements.", "Tábìlì ìtẹ̀lé-ìwọ̀n ń ṣe àkójọpọ̀ ẹ̀yà kẹ́míkà.",
"Heredity passes traits to offspring.", "Ìjogún ń gbé ànímọ́ lọ sí ọmọ.",
"A rectangle's perimeter is two times length plus width.", "Ìyípo rẹ́kítàngùlù ni ìlọ́po méjì gígùn pẹ̀lú gbígbòòrò.",
"Chloroplasts capture light for energy.", "Kílórópíláàsì ń gba ìmọ́lẹ̀ fún agbára.",
"Soil pH indicates acidity or alkalinity.", "pH ilẹ̀ ń fi ásìdì tàbí béesì hàn.",
"Force equals mass times acceleration.", "Agbára dọ́gba pẹ̀lú ìwọ̀n ara tísì ìyára kánkán.",
"A variable holds a value in an equation.", "Fẹ́ríábùlù ń tọ́jú iye nínú ìṣirò.",
"Atomic mass is the number of protons and neutrons.", "Ìwọ̀n ara átọ́mù ni iye pùrótónì àti niútrónì.",
"Photosynthesis produces glucose for plants.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń pèsè gúlúkóòsì fún ewéko.",
"Poultry health depends on good management.", "Ìlera ẹyẹ-ọ̀sìn ń bẹ lórí ìṣàkóso dáadáa.",
"A right triangle has a 90-degree angle.", "Tíríàngùlù oní-igun-ọ̀tún ní igun 90 díírì.",
"Chemical reactions involve bond breaking.", "Ìṣiṣẹ́ kẹ́míkà ní fífọ́ ìdè nínú.",
"Distance equals speed times time.", "Ìjìnnà dọ́gba pẹ̀lú ìyára tísì àkókò.",
"Crop rotation improves soil fertility.", "Ìyípadà-irúgbìn ń mú kí ilẹ̀ ní ìlera.",
"A square root is the inverse of a square.", "Gbòngbò-ìṣirò ni ìdàjì kwẹ́ẹ́rì.",
"Noble gases are stable elements.", "Gáàsì ọlọ́lá jẹ́ ẹ̀yà kẹ́míkà tí ó dúró ṣinṣin.",
"Cellular respiration occurs in mitochondria.", "Ìmí-kúrò sẹ́ẹ̀lì ń ṣẹlẹ̀ nínú mítókóndíríà.",
"A pest is harmful to farm produce.", "Kòkòrò-irúgbìn ń fa ìpalára fún ohun-ọ̀gbìn.",
"The mean is a measure of central tendency.", "Míìnì ni ìwọ̀n ibùdó ìtẹ̀lé.",
"Electric circuits must be closed to work.", "Kọ́ọ̀kì ẹ̀lékítíríkì gbọ́dọ̀ jẹ́ títì láti ṣiṣẹ́.",
"Genetic traits are inherited from parents.", "Ànímọ́ jẹ́nétììkì ni a ń jogún láti ọ̀dọ̀ àwọn òbí.",
"Organic fertilizer enriches the soil.", "Ààtàn-ọ̀rọ̀ ń mú kí ilẹ̀ kún fún oúnjẹ."
"The hypotenuse squared equals the sum of the other sides squared.", "Ìtẹ̀wọ̀n-igun-ọ̀tún lẹ́ẹ̀mẹ́ta dọ́gba pẹ̀lú àpapọ̀ àwọn ẹ̀gbẹ́ yòókù lẹ́ẹ̀mẹ́ta.",
"Meiosis reduces the chromosome number by half.", "Mẹ́íósì ń dín iye kírómósómù kù sí ìdajì.",
"A chemical compound is made of different elements.", "Àdàpọ̀ kẹ́míkà ni a ń ṣe láti àwọn ẹ̀yà tí ó yàtọ̀.",
"Integrated Pest Management reduces chemical reliance.", "Ìṣàkóso kòkòrò-irúgbìn ń dín ìgbẹ́kẹ̀lé kẹ́míkà kù.",
"A rhombus has four equal sides.", "Rọ́mbùsì ní ẹ̀gbẹ́ mẹ́rin tí ó dọ́gba.",
"Kinetic energy increases with velocity.", "Agbára ìsúnni ń pọ̀ sí i pẹ̀lú ìyára.",
"The cell wall is made of cellulose.", "Ògiri sẹ́ẹ̀lì ni a ń ṣe láti sẹ́lúlóòsì.",
"A linear graph shows a constant rate of change.", "Ígíráfù línìà ń fi oṣùwọ̀n àyípadà tí kò yí padà hàn.",
"Noble gases are found in the last group.", "Gáàsì ọlọ́lá wà nínú ẹgbẹ́ ìkẹyìn.",
"Soil erosion can be prevented by planting trees.", "Ìṣàgbà-ilẹ̀ leè jẹ́ dídènà nípa gbígbin igi.",
"An integer is a whole number.", "Nọ́mbà ódì ni nọ́mbà gbogbo.",
"Enzymes are biological catalysts.", "Èńsaímù ni kátálísì ẹ̀dá.",
"Redox reactions involve electron transfer.", "Ìṣiṣẹ́ rédọ́ọ̀kì ní mímú ẹ̀lékítírírónì kọjá.",
"Potassium is an essential plant nutrient.", "Pótáṣììùmù jẹ́ oúnjẹ pàtàkì fún ewéko.",
"Geometry is the study of shapes and sizes.", "Ìṣírò-ààyè ni ẹ̀kọ́ nípa ìrísí àti ìwọ̀n.",
"A closed circuit allows current flow.", "Kọ́ọ̀kì títì ń jẹ́ kí kọ́ọ̀ǹtì ṣàn.",
"The nucleus stores genetic material.", "Niúkíléọ̀sì ń tọ́jú nǹkan jẹ́nétììkì.",
"Pesticides should be applied safely.", "Oògùn-kòkòrò gbọ́dọ̀ jẹ́ lílò láìséwu.",
"Mean, median, and mode are measures of central tendency.", "Míìnì, mídíánì, àti mọ́òdù ni ìwọ̀n ibùdó ìtẹ̀lé.",
"Plants use photosynthesis to make food.", "Ewéko ń lo ìṣiṣẹ́-oòrùn-sínú-ewé láti ṣe oúnjẹ."
"The kinetic theory explains gas behavior.", "Ìlànà ìṣiṣẹ́-ìrìn ń ṣàlàyé ìhùwàsí gáàsì.",
"A hectare is ten thousand square meters.", "Hẹ́kítà ni ẹgbàá-mẹ́wàá mítà oní-ìwọ̀n-igun-ìdọ́gba.",
"Enzymes are highly specific catalysts.", "Èńsaímù jẹ́ kátálísì tí ó wà fún nǹkan pàtó.",
"Algebraic expressions involve variables and constants.", "Ìṣirò àlíjíbírà ní fẹ́ríábùlù àti nọ́mbà tí kò yí padà.",
"The atomic nucleus is positively charged.", "Niúkíléọ̀sì átọ́mù ní ẹ̀sùn rere.",
"Fertilizers must be used at the right time.", "Ààtàn gbọ́dọ̀ jẹ́ lílò ní àkókò tó tọ́.",
"A right triangle has one 90-degree angle.", "Tíríàngùlù oní-igun-ọ̀tún ní igun 90 díírì kan.",
"Chemical kinetics measures reaction rates.", "Ìṣirò-ìyára-kẹ́míkà ń wọ̀n oṣùwọ̀n ìṣiṣẹ́.",
"The phloem transports nutrients to the plant.", "Fólẹ̀mù ń gbé oúnjẹ kọjá sí ewéko.",
"A closed circuit allows electric flow.", "Kọ́ọ̀kì títì ń jẹ́ kí kọ́ọ̀ǹtì ṣàn.",
"Photosynthesis occurs in the daytime.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń ṣẹlẹ̀ ní ọ̀sán.",
"A vector has direction and magnitude.", "Vẹ́kítọ̀ ní ìtọ́sọ́nà àti ìwọ̀n.",
"Noble gases are found in nature.", "Gáàsì ọlọ́lá wà nínú ayé.",
"Soil texture affects plant root growth.", "Ìrísí ilẹ̀ ń kan ìdàgbàsókè gbòngbò ewéko.",
"A polygon is a closed shape with straight sides.", "Pólígọ̀nù ni ìrísí tí ó tì pẹ̀lú ẹ̀gbẹ́ títọ́.",
"Red blood cells carry oxygen.", "Àwọn sẹ́ẹ̀lì ẹ̀jẹ̀ pupa ń gbé ọ̀sìgíìì.",
"The rate of reaction is affected by pressure.", "Oṣùwọ̀n ìṣiṣẹ́ ń bẹ lórí ìfúnni-agbára.",
"A gene is a segment of DNA.", "Jíìnì ni apá DNA.",
"Livestock management requires daily attention.", "Ìṣàkóso ẹran-ọ̀sìn nílò ìfiyèsí lójoojúmọ́.",
"Standard deviation is useful for statistics.", "Ìyapa-ìtẹ̀lé ṣe pàtàkì fún ẹ̀kọ́-ìṣirò."
"A line with a negative slope falls from left to right.", "Ìlà tí ó ní ìtẹ̀wọ̀n òdì ń sọ̀kalẹ̀ láti òsì lọ sí ọ̀tún.",
"The cell nucleus is the control center of the cell.", "Niúkíléọ̀sì sẹ́ẹ̀lì ni ibùdó ìṣàkóso sẹ́ẹ̀lì.",
"Covalent bonds share electron pairs.", "Ìdè kòfélẹ́ǹtì ń pín àkójọpọ̀ ẹ̀lékítírírónì.",
"Integrated Pest Management uses biological control.", "Ìṣàkóso kòkòrò-irúgbìn ń lo ẹ̀dá alààyè láti ṣàkóso.",
"A rhombus has four equal sides.", "Rọ́mbùsì ní ẹ̀gbẹ́ mẹ́rin tí ó dọ́gba.",
"Kinetic energy is related to the mass of an object.", "Agbára ìsúnni ní nǹkan ṣe pẹ̀lú ìwọ̀n ara nǹkan.",
"The cell wall provides structure to plants.", "Ògiri sẹ́ẹ̀lì ń pèsè ìrísí fún ewéko.",
"Algebraic variables represent unknown quantities.", "Fẹ́ríábùlù àlíjíbírà ń dúró fún iye tí a kò mọ̀.",
"Noble gases are stable elements in Group 18.", "Gáàsì ọlọ́lá jẹ́ ẹ̀yà kẹ́míkà tí ó dúró ṣinṣin nínú ẹgbẹ́ 18.",
"Soil erosion is caused by water or wind.", "Ìṣàgbà-ilẹ̀ ń wáyé nípasẹ̀ omi tàbí afẹ́fẹ́.",
"A circle is a shape with no corners.", "Síríkì ni ìrísí tí kò ní igun.",
"Red blood cells transport oxygen.", "Àwọn sẹ́ẹ̀lì ẹ̀jẹ̀ pupa ń gbé ọ̀sìgíìì.",
"The reaction rate depends on the catalyst.", "Oṣùwọ̀n ìṣiṣẹ́ ń bẹ lórí kátálísì.",
"A gene is the basic unit of heredity.", "Jíìnì ni ìpìlẹ̀ ìjogún.",
"Livestock production contributes to the economy.", "Ìṣẹ̀dá ẹran-ọ̀sìn ń kópa nínú ọrọ̀-ajé.",
"Standard deviation measures data spread.", "Ìyapa-ìtẹ̀lé ń wọ̀n ìtànkálẹ̀ ìsọfúnni.",
"The sun provides light for photosynthesis.", "Oòrùn ń pèsè ìmọ́lẹ̀ fún ìṣiṣẹ́-oòrùn-sínú-ewé.",
"A cube is a 3D shape with equal faces.", "Kùúbù ni ìrísí 3D tí ó ní ojú tí ó dọ́gba.",
"The nucleus contains genetic material.", "Niúkíléọ̀sì ní nǹkan jẹ́nétììkì nínú.",
"Water is essential for life.", "Omi ṣe pàtàkì fún ìyè."
"Calculus is the mathematical study of continuous change.", "Kálíkúlọ́sì ni ẹ̀kọ́ ìṣírò nípa àyípadà tí kò dúró.",
"The mitochondria acts as the power center of the cell.", "Mítókóndíríà ń ṣiṣẹ́ gẹ́gẹ́ bí ibùdó agbára sẹ́ẹ̀lì.",
"Ionic compounds have high melting points.", "Àdàpọ̀ áónììkì ní ìwọ̀n ooru tí ó ga láti yọ́.",
"Soil moisture is vital for plant survival.", "Ọ̀rinrin ilẹ̀ ṣe pàtàkì fún ìyè ewéko.",
"A linear equation represents a straight line.", "Ìṣirò línìà ń dúró fún ìlà títọ́.",
"Acceleration is the rate of change in velocity.", "Ìyára kánkán ni oṣùwọ̀n àyípadà ìyára.",
"The periodic table organizes chemical elements.", "Tábìlì ìtẹ̀lé-ìwọ̀n ń ṣètò àwọn ẹ̀yà kẹ́míkà.",
"Genes are composed of DNA segments.", "Jíìnì jẹ́ èyí tí a fi àwọn apá DNA ṣe.",
"Sustainable farming maintains soil health.", "Iṣẹ́-ògbìn alárọ́pò-dúró ń tọ́jú ìlera ilẹ̀.",
"A variable can be dependent or independent.", "Fẹ́ríábùlù leè jẹ́ èyí tí ó gbára lẹ́yìn tàbí èyí tí kò gbára lẹ́yìn.",
"Photosynthesis uses water and carbon dioxide.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń lo omi àti kábọ̀nì dáyọ́ọ́ìdì.",
"A vector has both magnitude and direction.", "Vẹ́kítọ̀ ní ìwọ̀n àti ìtọ́sọ́nà pẹ̀lú.",
"Atomic number is the number of protons.", "Nọ́mbà átọ́mù ni iye pùrótónì.",
"Crop protection prevents pest outbreaks.", "Ìdáàbò-bò irúgbìn ń dènà ìbẹ́-sílẹ̀ kòkòrò.",
"A right triangle satisfies the Pythagorean theorem.", "Tíríàngùlù oní-igun-ọ̀tún ń tẹ̀lé òfin Pítágóòrù.",
"Surface tension is a property of liquids.", "Ìfà-lórí-omi jẹ́ ànímọ́ omi.",
"Genetics determines biological traits.", "Jẹ́nétììkì ń pinnu ànímọ́ ẹ̀dá.",
"A closed circuit allows current flow.", "Kọ́ọ̀kì títì ń jẹ́ kí kọ́ọ̀ǹtì ṣàn.",
"Organic matter improves soil structure.", "Ọ̀rọ̀-àdánidá ń mú kí ìrísí ilẹ̀ dára.",
"The sine rule is essential for trigonometry.", "Òfin sáìnì ṣe pàtàkì fún tírígónómẹ́tírì.",
